Шифр расценки и коды ресурсов,Наименование работ и затрат,Ед. изм.,Unnamed: 3,Наименование СПГЗ,ID,КПГЗ,Единицы измерения
5.3-3203-10-8/1,Устройство калиток решетчатых при установленных столбах высотой до 2 м,100 м2,1,Устройство ворот (калитки) в рамках благоустройства территорий объектов спорта,60046453.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.3-3203-11-1/1,Устройство ворот глухих с установкой столбов,100 м2,1,Устройство ворот (калитки) в рамках благоустройства территорий объектов спорта,60046453.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.3-3203-11-2/1,"Устройство ворот решетчатых с установкой столбов высотой до 1,2 м",100 м2,1,Устройство ворот (калитки) в рамках благоустройства территорий объектов спорта,60046453.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.3-3203-11-3/1,"Устройство ворот решетчатых с установкой столбов высотой до 1,6 м",100 м2,1,Устройство ворот (калитки) в рамках благоустройства территорий объектов спорта,60046453.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.3-3203-11-4/1,Устройство ворот решетчатых с установкой столбов высотой до 2 м,100 м2,1,Устройство ворот (калитки) в рамках благоустройства территорий объектов спорта,60046453.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.3-3203-11-5/1,Устройство ворот глухих при установленных столбах,100 м2,1,Устройство ворот (калитки) в рамках благоустройства территорий объектов спорта,60046453.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.3-3203-11-6/1,"Устройство ворот решетчатых при установленных столбах высотой до 1,2 м",100 м2,1,Устройство ворот (калитки) в рамках благоустройства территорий объектов спорта,60046453.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.3-3203-11-7/1,"Устройство ворот решетчатых при установленных столбах высотой до 1,6 м",100 м2,1,Устройство ворот (калитки) в рамках благоустройства территорий объектов спорта,60046453.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.3-3203-11-8/1,Устройство ворот решетчатых при установленных столбах высотой до 2 м,100 м2,1,Устройство ворот (калитки) в рамках благоустройства территорий объектов спорта,60046453.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.3-3203-12-1/1,Устройство заборов глухих из щитов с установкой столбов,100 м2,1,Устройство забора в рамках компенсационного озеленения,70227524.0,02.04.04.03.01 ВОССТАНОВЛЕНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ В РАМКАХ КОМПЕНСАЦИОННОГО ОЗЕЛЕНЕНИЯ ТЕРРИТОРИЙ,Погонный метр
5.3-3203-12-2/1,"Устройство заборов решетчатых из щитов с установкой столбов высотой до 1,2 м",100 м2,1,Устройство забора в рамках компенсационного озеленения,70227524.0,02.04.04.03.01 ВОССТАНОВЛЕНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ В РАМКАХ КОМПЕНСАЦИОННОГО ОЗЕЛЕНЕНИЯ ТЕРРИТОРИЙ,Погонный метр
5.3-3203-12-3/1,"Устройство заборов решетчатых из щитов с установкой столбов высотой до 1,6 м",100 м2,1,Устройство забора в рамках компенсационного озеленения,70227524.0,02.04.04.03.01 ВОССТАНОВЛЕНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ В РАМКАХ КОМПЕНСАЦИОННОГО ОЗЕЛЕНЕНИЯ ТЕРРИТОРИЙ,Погонный метр
5.3-3203-12-4/1,Устройство заборов решетчатых из щитов с установкой столбов высотой до 2 м,100 м2,1,Устройство забора в рамках компенсационного озеленения,70227524.0,02.04.04.03.01 ВОССТАНОВЛЕНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ В РАМКАХ КОМПЕНСАЦИОННОГО ОЗЕЛЕНЕНИЯ ТЕРРИТОРИЙ,Погонный метр
5.3-3203-12-5/1,Устройство заборов глухих из щитов при установленных столбах,100 м2,1,Устройство забора в рамках компенсационного озеленения,70227524.0,02.04.04.03.01 ВОССТАНОВЛЕНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ В РАМКАХ КОМПЕНСАЦИОННОГО ОЗЕЛЕНЕНИЯ ТЕРРИТОРИЙ,Погонный метр
5.3-3203-12-6/1,"Устройство заборов решетчатых из щитов при установленных столбах высотой до 1,2 м",100 м2,1,Устройство забора в рамках компенсационного озеленения,70227524.0,02.04.04.03.01 ВОССТАНОВЛЕНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ В РАМКАХ КОМПЕНСАЦИОННОГО ОЗЕЛЕНЕНИЯ ТЕРРИТОРИЙ,Погонный метр
